,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,33.01,40.44,,37.24
1,40.2,45.34,,42.95
2,47.95,60.94,,55.45
3,56.29,59.84,,58.41
4,57.46,63.22,,60.43
5,61.18,67.9,,64.76
6,66.15,70.55,,68.61
7,71.48,72.86,,72.17
8,69.56,68.11,,68.75
9,59.74,62.95,,61.51
