,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,29.41,29.82,25.0,,22.22,46.52,33.33,35.79
1,42.86,39.79,27.27,0.0,30.0,52.13,35.29,44.2
2,0.0,49.49,46.67,,33.33,65.05,42.5,55.0
3,45.45,55.35,26.67,,88.89,68.01,59.57,60.21
4,87.5,61.76,41.67,,80.0,72.71,54.55,66.28
5,75.0,63.66,50.0,,66.67,77.98,43.75,69.67
6,10.0,65.43,23.08,,66.67,78.61,55.26,70.93
7,60.0,72.11,14.29,,45.45,80.2,39.13,75.24
8,27.27,64.27,40.0,0.0,66.67,74.55,44.64,70.42
9,40.74,55.11,31.97,0.0,54.65,70.57,45.86,62.06
