-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,15.94,22.58,0.0,19.08
OTHER,30.0,9.09,0.0,19.05
NATIVE AMERICAN,0.0,100.0,0.0,100.0
LATINO,20.0,36.36,0.0,32.2
ASIAN-PACIFIC,33.33,0.0,0.0,16.67
WHITE,38.97,40.0,0.0,39.58
BLACK,27.96,31.3,0.0,29.81
TOTAL,31.51,35.24,0.0,33.65
