-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,50.0,27.03,31.82,0.0,16.67,43.8,43.55,42.97
30-34,0.0,46.67,69.23,0.0,0.0,52.62,44.44,52.13
35-39,50.0,38.46,33.33,0.0,33.33,62.43,58.0,61.54
40-44,75.0,78.57,37.5,50.0,0.0,67.28,67.65,67.11
45-49,60.0,42.86,73.33,50.0,0.0,68.81,65.79,68.25
50-54,66.67,63.64,73.33,100.0,80.0,71.72,63.93,71.35
55-59,83.33,60.0,61.54,0.0,50.0,74.49,68.89,74.0
60-64,66.67,68.42,28.57,0.0,50.0,76.86,72.0,76.34
65-OVER,40.0,62.5,61.11,0.0,55.56,77.64,77.78,77.33
TOTAL,55.77,53.11,54.17,42.86,42.11,69.82,63.35,69.17
