PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
99999,0.0,0.0,0.0,0.0
ANNX,66.38,69.22,50.0,67.86
BMS,67.02,68.48,90.0,67.81
CENT,59.59,61.26,16.67,60.43
CGTC,63.74,66.28,50.0,65.06
FMMS,61.7,64.07,47.06,62.94
HAFS,65.64,69.38,0.0,67.58
HCTC,52.6,56.58,28.57,54.74
HEFS,64.9,71.33,0.0,68.23
HHPC,50.25,57.61,23.53,54.35
MCMS,64.43,66.63,61.54,65.6
MILL,59.61,61.32,12.5,60.37
NSES,61.07,67.92,66.67,64.66
RECR,38.43,48.64,28.81,44.24
ROZR,62.07,65.57,64.29,64.01
TMS,50.4,55.51,30.0,53.34
TWPK,63.57,65.49,40.0,64.57
VHS,67.1,68.97,83.33,68.09
TOTAL,58.92,62.29,39.9,60.72
