,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,33.33,40.0,16.67,,0.0,46.54,36.5,42.83
1,0.0,48.61,0.0,,12.5,56.03,45.45,52.5
2,100.0,53.56,57.14,,40.0,59.08,55.88,57.13
3,100.0,62.66,25.0,,100.0,67.19,70.59,66.2
4,75.0,63.87,75.0,,100.0,71.49,58.06,68.91
5,100.0,65.06,50.0,0.0,150.0,71.31,51.85,68.75
6,60.0,68.64,100.0,100.0,42.86,77.67,56.82,74.14
7,50.0,67.82,,,83.33,80.67,47.06,76.3
8,66.67,69.93,50.0,,100.0,76.59,60.0,74.73
9,55.56,60.84,40.0,50.0,50.0,69.72,51.47,66.28
