PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
ALLATOONA,53.02,55.06,125.0,54.13
CARTERSVILLE EAST,53.38,59.8,62.5,56.88
CARTERSVILLE WEST,61.84,65.14,33.33,63.59
BEAVERS DRIVE,62.88,64.88,100.0,63.92
CENTER,64.12,65.17,75.0,64.67
EMERSON,60.13,65.09,0.0,62.67
EUHARLEE,64.12,65.38,100.0,64.78
FOLSOM,64.96,66.39,0.0,65.69
KINGSTON,64.53,66.84,0.0,65.67
MISSION ROAD,62.74,65.36,80.0,64.13
PINE LOG,69.12,70.75,100.0,69.96
TAYLORSVILLE,68.06,68.97,100.0,68.56
WHITE,65.79,69.85,0.0,67.81
ZENA DRIVE,50.16,53.37,66.67,51.96
CASSVILLE,54.64,59.72,66.67,57.3
WOODLAND,57.9,59.95,100.0,59.07
99999,0.0,0.0,0.0,0.0
TOTAL,59.79,62.7,70.45,61.33
