-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,10.0,21.67,35.71,100.0,19.35,35.5,38.46,35.22
30-34,33.33,35.59,29.63,0.0,45.83,48.66,50.27,48.14
35-39,75.0,35.09,20.0,0.0,50.0,54.01,52.2,53.0
40-44,33.33,51.52,68.75,0.0,36.36,59.4,51.42,58.12
45-49,75.0,47.2,69.23,66.67,38.46,63.69,53.07,62.13
50-54,57.14,42.96,42.86,100.0,78.57,65.9,56.21,64.17
55-59,50.0,56.12,54.55,100.0,37.5,69.51,61.86,68.28
60-64,57.14,64.75,50.0,50.0,75.0,73.56,64.44,72.48
65-OVER,73.33,54.76,54.55,75.0,71.43,65.72,61.21,65.09
TOTAL,52.33,47.04,44.03,69.23,46.31,61.0,54.1,59.77
