PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
BOWDON,14.29,54.59,28.57,100.0,44.44,65.41,48.43,62.06
SANDHILL,53.85,56.95,55.17,33.33,41.18,65.78,49.66,62.6
CENTER POINT,100.0,56.0,84.62,100.0,75.0,77.34,58.25,75.71
LOWELL,100.0,40.91,66.67,0.0,100.0,72.24,54.24,69.63
MT ZION,23.53,69.44,55.56,100.0,42.86,65.57,51.82,64.11
BURWELL,100.0,46.75,46.15,0.0,66.67,69.17,43.02,65.94
CLEM,50.0,60.0,32.26,100.0,42.86,72.25,52.08,68.92
BOWDON JUNCTION,33.33,55.4,63.64,100.0,57.14,64.96,40.37,60.82
TYUS,100.0,56.04,44.44,0.0,60.0,73.68,52.25,70.92
FAIRFIELD,66.67,73.45,60.0,50.0,54.84,71.99,64.76,71.05
HULETT,80.0,52.94,65.22,0.0,71.43,75.17,60.1,72.12
BETHANY,30.77,53.53,53.03,66.67,22.22,60.66,46.63,57.05
V R COUNTY SOUTH,45.45,52.12,59.26,0.0,76.47,66.41,46.56,63.38
V R COUNTY NORTH,29.41,57.81,48.75,100.0,44.44,62.64,48.92,59.91
VILLA RICA CITY,48.72,53.04,50.63,50.0,43.06,58.35,51.83,55.56
TEMPLE COUNTY,54.55,61.83,35.0,40.0,33.33,62.41,50.7,60.63
TEMPLE CITY,50.0,58.8,48.89,50.0,54.05,65.09,50.57,62.0
WHITESBURG,100.0,57.45,50.0,0.0,37.5,69.3,51.08,67.0
ROOPVILLE,50.0,56.16,100.0,0.0,60.0,71.8,57.29,69.9
WEST CARROLLTON,40.0,51.17,45.07,40.0,26.83,48.03,42.94,48.7
EAST CARROLLTON REC,47.62,46.59,48.28,0.0,46.15,68.04,39.01,59.7
BONNER,34.88,49.14,51.39,0.0,32.35,69.46,47.71,61.36
UNIVERSITY OF W. GA,35.29,51.55,54.0,50.0,48.08,64.23,45.12,57.21
COUNTY ADMIN BLDG,50.0,50.29,59.68,0.0,41.67,66.29,49.75,61.76
TABERNACLE CHURCH,84.62,46.79,66.67,100.0,55.56,72.02,41.98,66.31
EMC,66.67,55.7,42.86,0.0,33.33,70.41,48.08,64.29
OLD CAMP CHURCH,75.0,57.14,61.11,0.0,35.0,73.88,50.66,70.2
OAK GROVE,0.0,49.62,53.33,0.0,30.0,71.43,58.4,67.58
NEW HOPE,28.57,58.82,33.33,0.0,21.05,60.84,51.3,58.26
88888,0.0,0.0,0.0,0.0,0.0,0.0,inf,100.0
99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,47.37,54.21,51.66,53.33,43.26,66.95,50.24,62.66
