PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
SHILOH,49.76,50.5,0.0,50.05
COLLINS,63.03,66.99,100.0,65.2
MANASSAS,70.18,73.11,0.0,71.67
DISTRICT II,57.68,60.15,33.33,59.04
EAST GLENNVILLE,65.25,67.42,71.43,66.46
DISTRICT IV,62.74,66.72,100.0,64.95
88888,0.0,0.0,0.0,0.0
DISTRICT V,66.19,67.32,0.0,66.7
TOTAL,61.62,64.14,56.25,62.99
