-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,20.0,46.37,25.0,0.0,28.57,47.33,38.46,45.86
30-34,22.22,56.94,25.0,0.0,33.33,50.65,36.36,51.08
35-39,0.0,53.92,33.33,100.0,33.33,54.07,30.0,53.04
40-44,33.33,64.97,0.0,0.0,0.0,59.22,48.48,59.5
45-49,100.0,69.52,40.0,0.0,0.0,61.57,44.44,62.7
50-54,0.0,71.89,100.0,0.0,50.0,67.63,57.78,68.5
55-59,100.0,72.12,100.0,0.0,0.0,73.16,68.97,72.86
60-64,0.0,79.13,33.33,100.0,100.0,73.18,84.85,75.19
65-OVER,0.0,72.84,80.0,0.0,40.0,78.44,67.44,76.51
TOTAL,38.46,66.47,43.9,40.0,35.48,67.57,55.65,66.41
