,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,12.5,22.71,45.83,,22.22,43.55,48.39,38.45
1,20.0,36.46,55.0,100.0,20.0,57.19,66.67,52.46
2,25.0,35.15,33.33,0.0,0.0,63.29,52.17,56.68
3,0.0,49.71,42.86,,33.33,68.29,36.84,63.12
4,66.67,53.85,38.46,,40.0,69.07,50.0,64.97
5,60.0,57.54,42.86,0.0,33.33,75.0,51.72,70.36
6,33.33,64.71,50.0,,66.67,76.57,52.17,73.33
7,50.0,68.0,12.5,,,78.89,66.67,76.21
8,100.0,70.93,50.0,,100.0,79.13,38.89,77.15
9,39.47,53.04,42.74,33.33,37.14,70.36,50.68,66.02
