-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,37.55,47.25,0.0,42.28
OTHER,36.0,41.67,100.0,40.0
NATIVE AMERICAN,0.0,50.0,0.0,33.33
LATINO,44.76,66.95,100.0,56.7
ASIAN-PACIFIC,20.0,26.53,0.0,24.05
WHITE,49.62,55.15,100.0,52.6
BLACK,24.44,48.34,0.0,37.5
TOTAL,44.28,52.92,100.0,48.94
