-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,66.67,25.0,100.0,0.0,66.67,50.59,52.63,50.54
30-34,66.67,100.0,40.0,50.0,100.0,54.83,56.25,55.1
35-39,100.0,100.0,0.0,0.0,0.0,59.34,50.0,59.31
40-44,66.67,0.0,66.67,0.0,0.0,66.44,56.25,65.94
45-49,100.0,100.0,100.0,100.0,0.0,71.62,68.75,72.0
50-54,0.0,0.0,50.0,0.0,50.0,75.57,63.64,74.65
55-59,0.0,100.0,100.0,0.0,100.0,78.03,66.67,77.71
60-64,200.0,100.0,100.0,0.0,100.0,85.04,77.78,85.02
65-OVER,60.0,75.0,100.0,0.0,66.67,81.64,91.3,81.81
TOTAL,70.0,54.55,70.83,60.0,72.73,75.81,74.47,75.68
