-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,25.77,40.0,0.0,33.49
OTHER,22.22,0.0,0.0,13.33
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,12.5,35.71,0.0,23.33
ASIAN-PACIFIC,12.5,60.0,0.0,30.77
WHITE,40.62,43.08,0.0,41.95
BLACK,16.11,25.0,0.0,20.97
TOTAL,32.85,38.72,0.0,36.01
