,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,39.73,52.99,,47.02
1,42.05,61.54,,52.4
2,52.07,67.31,,61.31
3,64.67,72.84,,69.23
4,70.04,73.9,0.0,71.92
5,70.16,76.83,,73.62
6,69.9,73.67,,71.95
7,73.43,82.84,,78.53
8,75.21,76.12,,75.73
9,66.07,72.72,0.0,69.73
