-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,25.0,50.0,0.0,38.89
OTHER,100.0,0.0,0.0,50.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,0.0,30.77,0.0,19.05
ASIAN-PACIFIC,0.0,0.0,0.0,0.0
WHITE,44.83,49.12,0.0,46.96
BLACK,0.0,0.0,0.0,0.0
TOTAL,35.8,45.12,0.0,40.49
