,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,25.0,25.4,34.78,,20.0,45.33,23.08,37.83
1,0.0,40.53,28.57,0.0,35.71,53.55,43.48,48.9
2,50.0,45.64,26.09,,16.67,65.78,45.61,58.31
3,33.33,51.72,48.39,,75.0,68.34,46.15,63.61
4,50.0,54.84,30.0,100.0,50.0,72.66,57.5,67.41
5,100.0,57.87,51.85,,100.0,69.96,61.9,66.6
6,100.0,69.57,18.75,100.0,50.0,76.28,55.26,73.21
7,100.0,65.71,60.0,,20.0,78.15,50.0,74.2
8,72.73,63.93,40.0,0.0,100.0,78.04,60.0,74.87
9,60.0,54.04,36.84,60.0,38.6,69.99,47.45,64.84
