PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
1,67.10,71.46,100.0,69.41
2,68.86,66.82,0.00,67.78
88888,0.00,0.00,0.00,0.00
TOTAL,67.77,69.45,100.0,68.67
