,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,22.22,41.69,53.85,0.0,14.29,46.44,47.37,45.02
1,60.0,58.01,50.0,,100.0,56.67,50.0,56.95
2,87.5,62.19,57.14,100.0,75.0,68.31,44.0,66.43
3,60.0,66.58,60.0,50.0,66.67,71.77,54.17,70.05
4,58.33,71.36,42.86,100.0,60.0,73.94,42.11,72.76
5,60.0,73.99,63.64,33.33,100.0,78.68,72.22,77.14
6,25.0,77.35,71.43,,100.0,78.32,30.0,77.67
7,57.14,80.63,100.0,0.0,100.0,82.26,33.33,81.46
8,54.55,78.9,50.0,100.0,,81.53,50.0,80.57
9,54.55,69.9,58.9,56.25,63.33,72.9,48.82,71.72
