-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,33.85,47.49,0.0,40.97
OTHER,29.51,47.16,0.0,39.32
NATIVE AMERICAN,66.67,75.0,0.0,71.43
LATINO,32.95,46.58,0.0,40.73
ASIAN-PACIFIC,29.6,44.17,0.0,36.73
WHITE,41.04,47.81,33.33,44.46
BLACK,34.02,54.18,100.0,45.19
TOTAL,36.75,50.4,50.0,43.99
