-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,9.09,52.38,0.0,37.5
OTHER,33.33,66.67,0.0,50.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,25.0,57.14,0.0,40.0
ASIAN-PACIFIC,0.0,0.0,0.0,0.0
WHITE,40.12,48.69,0.0,44.69
BLACK,15.62,27.42,100.0,24.21
TOTAL,34.39,44.72,100.0,40.32
