AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,2646.0,0.0,89.0,69.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,12.0,13.0,0.0,8.0,9.0,1.0,716.0,677.0,0.0,606.0,429.0
30-34,2634.0,0.0,87.0,79.0,0.0,11.0,10.0,0.0,0.0,0.0,1.0,16.0,10.0,0.0,5.0,7.0,2.0,804.0,698.0,0.0,543.0,361.0
35-39,2432.0,0.0,91.0,72.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,22.0,9.0,0.0,5.0,6.0,2.0,699.0,664.0,2.0,519.0,322.0
40-44,2228.0,0.0,61.0,69.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,4.0,11.0,0.0,682.0,578.0,0.0,497.0,292.0
45-49,2519.0,1.0,58.0,60.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,13.0,8.0,0.0,10.0,7.0,3.0,819.0,746.0,1.0,470.0,313.0
50-54,2869.0,2.0,64.0,67.0,0.0,8.0,5.0,0.0,1.0,1.0,0.0,9.0,9.0,0.0,10.0,9.0,1.0,894.0,774.0,0.0,569.0,446.0
55-59,2868.0,1.0,70.0,69.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,3.0,12.0,0.0,7.0,4.0,1.0,912.0,808.0,0.0,574.0,397.0
60-64,2618.0,0.0,60.0,52.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,7.0,5.0,0.0,2.0,2.0,1.0,871.0,782.0,1.0,460.0,365.0
65-OVER,7279.0,0.0,142.0,112.0,0.0,7.0,4.0,0.0,2.0,0.0,0.0,14.0,9.0,0.0,10.0,11.0,1.0,2911.0,2241.0,0.0,1128.0,687.0
TOTAL,28093.0,4.0,722.0,649.0,0.0,72.0,52.0,0.0,5.0,3.0,1.0,104.0,84.0,0.0,61.0,66.0,12.0,9308.0,7968.0,4.0,5366.0,3612.0
