,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,42.31,65.38,,53.85
1,62.0,59.18,,60.61
2,64.29,60.29,,61.82
3,63.79,81.03,,72.41
4,68.97,84.38,,77.05
5,65.33,81.48,,73.72
6,82.43,80.25,,81.29
7,78.57,84.27,100.0,81.88
8,79.21,77.93,,78.52
9,70.47,76.42,100.0,73.67
