-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,8.33,22.34,31.58,100.0,27.27,38.4,31.43,35.52
30-34,40.0,32.81,23.08,100.0,40.0,47.18,56.25,45.67
35-39,54.55,47.29,54.55,0.0,0.0,58.48,31.48,55.73
40-44,41.67,50.0,44.44,0.0,42.86,59.54,48.15,57.54
45-49,25.0,54.86,40.0,0.0,28.57,63.15,58.54,61.46
50-54,55.56,54.84,20.0,0.0,50.0,66.75,38.0,64.17
55-59,61.54,60.0,57.14,0.0,50.0,71.96,42.86,69.51
60-64,60.0,58.9,50.0,0.0,75.0,74.27,56.25,72.07
65-OVER,20.0,63.04,50.0,50.0,75.0,72.21,65.52,71.26
TOTAL,41.11,50.2,39.33,37.5,38.0,64.09,47.83,61.79
