-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0,55.56,38.89,0,11.11,18.18,0,0,0,0,37.74,35.96,0,20,40,0,39.21,37.97,0,33.33,22.95,38.02
30-34,0,50,47.62,0,0,60,0,50,50,0,54.08,38.36,0,12.5,40,0,54.49,49.44,0,43.55,34.21,50.96
35-39,0,66.67,48.78,0,25,75,0,0,100,0,48.89,36.62,0,50,25,100,64.49,57.97,0,44.9,28.57,59.27
40-44,0,54.17,45.16,0,14.29,33.33,0,0,0,0,40.62,39.29,0,46.15,70,0,67.8,67.03,0,52.08,58.82,64.94
45-49,0,45.83,40.48,0,50,10,0,50,100,0,56.9,60.32,0,30.77,55.56,0,67.54,71.45,0,63.24,49.21,67.37
50-54,100,64,31.82,0,50,37.5,0,0,100,0,58.7,57.45,0,54.55,33.33,0,68.37,69.79,0,63.16,50.75,67.47
55-59,0,73.33,28.12,0,50,42.86,0,0,0,0,54.29,54.76,0,75,42.86,0,72.1,71.47,0,67.92,56.60,70.29
60-64,0,38.46,44.44,0,50,80,0,0,0,0,52.38,66.67,0,40,50,0,74.98,75.51,0,57.89,50.00,73.43
TOTAL,50.0,57.09,40.3,0,32.5,38.98,0,50.0,66.67,0,49.46,46.15,0,39.51,50.0,100.0,65.64,66.05,0,56.23,47.52,63.99
