,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,24.05,37.5,56.7,33.33,40.0,52.6,42.54,48.96
1,29.09,49.58,49.44,50.0,47.37,59.75,50.14,56.64
2,49.37,57.31,56.89,100.0,54.29,66.8,49.85,63.74
3,40.91,64.91,53.9,0.0,57.58,68.4,52.61,65.89
4,39.34,67.87,61.07,100.0,50.0,69.8,48.71,67.28
5,27.12,65.38,65.0,33.33,41.94,70.44,55.56,67.71
6,39.58,70.18,58.42,100.0,47.06,73.85,56.38,71.43
7,40.0,70.15,59.74,50.0,80.95,78.63,55.29,75.5
8,50.0,67.26,61.61,100.0,57.69,77.69,64.4,75.5
9,35.62,61.01,57.36,60.0,51.27,69.34,52.63,66.18
