-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,60.0,12.5,40.0,0.0,0.0,29.5,33.82,30.13
30-34,25.0,50.0,0.0,0.0,57.14,47.28,43.93,46.74
35-39,28.57,28.57,50.0,0.0,60.0,52.74,62.82,53.17
40-44,40.0,25.0,57.14,0.0,20.0,56.65,51.32,55.68
45-49,0.0,33.33,25.0,100.0,0.0,60.99,52.73,59.9
50-54,20.0,100.0,0.0,100.0,100.0,66.67,56.79,65.48
55-59,66.67,50.0,50.0,0.0,0.0,70.23,61.29,69.39
60-64,50.0,28.57,33.33,0.0,200.0,73.42,70.91,72.77
65-OVER,20.0,53.85,33.33,100.0,40.0,66.3,68.1,66.15
TOTAL,35.14,38.6,34.09,50.0,48.15,59.7,53.79,58.89
