,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,,34.19,42.86,,0.0,37.32,36.54,36.35
1,100.0,38.89,30.0,100.0,50.0,47.88,46.0,45.88
2,100.0,36.84,44.44,0.0,66.67,54.25,37.14,49.11
3,60.0,48.24,0.0,0.0,25.0,56.27,61.11,53.72
4,66.67,60.0,0.0,,0.0,59.69,44.83,58.28
5,,60.91,66.67,100.0,50.0,66.07,57.14,64.38
6,50.0,71.96,50.0,,66.67,70.39,71.88,70.65
7,50.0,62.37,50.0,,66.67,68.75,70.59,67.14
8,50.0,65.62,50.0,0.0,0.0,72.09,65.71,70.18
9,63.16,54.13,34.78,42.86,40.0,60.58,52.23,58.25
