PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
001,65.38,69.44,66.67,67.54
002,57.48,68.28,69.23,63.52
003,60.54,67.08,73.33,64.07
004,55.91,61.01,75.00,58.71
005,67.87,71.20,66.67,69.60
006,59.53,64.19,62.50,61.95
007,63.66,68.20,80.00,66.01
008,70.87,72.64,85.71,71.82
009,67.12,70.46,38.89,68.76
010,63.22,69.96,0.00,66.91
011,52.39,59.59,77.78,56.29
012,54.87,60.56,45.83,57.88
013,70.87,74.22,83.33,72.60
014,68.06,72.85,90.91,70.63
015,50.03,56.94,48.00,54.02
016,60.20,64.95,61.54,62.80
017,50.49,57.61,46.15,54.47
018,54.95,61.50,50.00,58.49
019,59.98,68.73,100.0,64.86
020,41.60,55.84,44.44,49.34
021,46.57,52.84,53.33,50.06
022,68.34,75.12,50.00,72.02
023,43.42,54.25,44.44,49.19
024,55.22,60.97,65.00,58.36
025,60.91,65.85,64.29,63.54
026,56.70,61.49,83.33,59.41
027,68.62,71.52,56.25,70.10
028,65.65,69.96,69.23,67.96
029,68.66,72.18,62.50,70.51
030,61.19,68.83,60.00,65.49
031,65.12,69.23,53.85,67.16
032,67.59,71.68,75.00,69.73
033,70.12,74.18,75.00,72.23
034,51.89,55.61,50.00,53.94
035,66.42,69.79,70.00,68.18
036,69.56,75.59,100.0,72.76
037,40.48,47.04,53.85,44.37
038,44.20,49.87,50.00,47.22
039,67.05,71.06,75.00,69.19
040,64.43,67.48,53.85,66.02
041,60.02,69.23,77.78,65.21
042,62.06,67.91,87.50,65.20
043,44.97,53.53,75.00,49.95
044,54.72,65.93,64.29,60.95
045,64.16,69.69,50.00,67.04
046,67.59,73.23,116.67,70.90
047,69.21,71.41,87.50,70.41
048,57.02,60.23,60.00,58.73
049,61.26,64.88,42.86,63.13
050,46.99,56.98,66.67,52.56
051,42.53,50.91,46.67,47.09
052,71.68,73.55,60.00,72.62
053,53.61,63.61,58.82,59.46
054,66.57,68.82,75.00,67.76
055,61.87,65.53,76.19,63.90
056,57.09,63.56,100.0,60.79
057,53.20,59.44,60.87,56.56
058,42.04,52.58,60.00,47.93
059,40.20,49.85,43.75,45.73
060,42.72,53.30,78.26,49.12
061,64.63,68.42,66.67,66.68
062,75.38,78.43,66.67,76.89
063,70.74,74.96,75.00,72.86
064,58.30,66.49,46.15,62.83
065,53.88,61.81,57.14,57.94
066,46.06,53.67,75.00,50.20
067,61.23,65.65,46.67,63.60
068,64.48,70.09,60.00,67.38
069,63.71,69.96,37.50,66.99
070,64.94,67.50,75.00,66.27
071,56.63,64.91,47.06,61.10
072,33.92,45.92,46.43,40.99
073,60.00,65.61,50.00,63.16
074,46.03,55.35,90.00,51.71
075,62.39,68.91,63.64,65.94
076,62.22,70.68,88.89,67.01
077,55.12,62.48,80.00,59.23
078,68.78,71.63,50.00,70.27
079,67.28,70.93,33.33,69.09
080,65.79,71.76,81.82,68.99
081,59.61,68.06,75.00,64.18
082,48.61,59.62,64.71,54.97
083,57.88,64.55,33.33,61.28
084,57.38,61.09,57.89,59.35
085,65.44,69.85,52.94,67.67
086,46.09,55.34,75.00,51.38
087,52.73,61.01,75.00,57.11
088,51.60,60.78,60.00,56.73
089,63.17,68.16,71.43,65.88
090,52.88,60.19,70.00,56.99
091,67.12,72.72,53.85,70.12
092,71.57,74.89,60.00,73.27
093,66.83,70.84,69.23,68.88
094,67.26,71.71,60.00,69.62
095,44.99,54.87,72.22,50.73
096,63.67,67.43,88.89,65.74
097,58.14,66.21,47.62,62.28
098,58.80,64.33,66.67,61.75
099,55.33,61.42,91.67,58.67
100,66.21,67.58,85.71,66.99
101,55.79,61.74,50.00,59.08
102,67.47,70.53,66.67,69.05
103,48.98,60.51,63.64,55.43
104,60.17,70.24,60.00,65.93
105,61.19,64.98,50.00,63.15
106,60.31,64.96,70.83,62.79
107,64.89,69.61,0.00,67.23
108,58.87,65.98,80.00,62.88
109,66.33,74.73,50.00,70.52
110,51.41,59.60,71.43,55.93
111,59.19,64.43,80.00,62.31
112,70.23,74.73,66.67,72.56
113,52.58,61.50,100.0,57.31
114,57.29,64.04,70.00,60.88
115,53.06,60.84,69.57,57.23
116,47.73,54.12,57.14,51.28
117,45.22,54.91,66.67,50.80
118,66.98,69.67,14.29,68.14
119,67.48,71.55,63.64,69.59
120,54.09,60.12,28.57,57.16
121,64.74,69.33,41.67,66.99
122,56.58,67.08,75.00,62.49
123,46.14,55.40,57.14,51.29
124,51.30,60.89,75.00,56.59
125,76.30,76.68,100.0,76.74
126,71.52,73.58,75.00,72.58
127,57.14,62.76,25.00,60.11
128,62.54,65.35,37.50,63.90
