-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,27.78,40.91,0.0,35.0
OTHER,0.0,0.0,0.0,0.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,25.0,70.0,0.0,50.0
ASIAN-PACIFIC,50.0,33.33,0.0,40.0
WHITE,54.58,59.81,0.0,57.23
BLACK,32.41,58.28,0.0,47.97
TOTAL,47.51,58.22,0.0,53.28
