-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,33.33,17.65,0.0,27.66
OTHER,66.67,20.0,0.0,37.5
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,0.0,0.0,0.0,0.0
ASIAN-PACIFIC,0.0,0.0,0.0,0.0
WHITE,41.16,44.12,0.0,42.79
BLACK,23.08,46.67,0.0,35.71
TOTAL,39.9,42.65,0.0,41.39
