,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,32.66,45.67,,39.66
1,41.71,57.98,,50.64
2,49.25,60.0,,55.58
3,46.52,58.23,,53.21
4,58.91,65.49,0.0,62.45
5,62.86,71.19,200.0,67.7
6,66.2,71.08,,68.8
7,71.48,78.7,,75.52
8,73.68,70.01,,71.64
9,59.59,65.67,100.0,62.98
