,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,36.36,26.38,41.9,,35.29,48.65,32.12,39.65
1,42.86,37.9,38.46,,35.71,58.14,40.79,50.15
2,50.0,40.3,60.42,,54.55,61.76,50.0,54.13
3,28.57,49.2,33.33,0.0,44.44,67.87,55.56,60.57
4,33.33,53.64,35.9,,62.5,71.77,54.9,65.05
5,68.18,55.46,58.82,,40.0,74.66,39.29,67.6
6,54.55,62.84,60.0,,44.44,78.4,50.82,72.7
7,37.5,62.91,38.89,0.0,77.78,80.75,43.24,74.65
8,37.5,63.37,59.09,0.0,82.61,77.2,44.94,73.73
9,42.28,49.79,45.94,0.0,55.24,70.59,43.86,63.29
