-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,100.0,0.0,0.0,50.0
OTHER,0.0,0.0,0.0,0.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,0.0,0.0,0.0,0.0
ASIAN-PACIFIC,0.0,100.0,0.0,100.0
WHITE,54.76,60.47,0.0,57.65
BLACK,24.32,44.44,0.0,36.26
TOTAL,41.25,51.46,0.0,46.99
