-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,0.0,19.05,0.0,50.0,46.96,38.89,40.49
30-34,0.0,9.09,41.67,0.0,0.0,57.53,42.86,52.17
35-39,0.0,33.33,0.0,0.0,50.0,59.52,28.57,54.05
40-44,100.0,50.0,44.44,0.0,50.0,66.67,50.0,63.93
45-49,0.0,42.86,80.0,0.0,50.0,68.38,44.44,65.49
50-54,0.0,45.45,50.0,0.0,100.0,77.42,44.44,72.83
55-59,0.0,78.57,33.33,0.0,50.0,73.24,80.0,72.89
60-64,0.0,50.0,100.0,0.0,100.0,77.44,50.0,74.51
65-OVER,0.0,75.0,66.67,0.0,100.0,70.95,42.86,70.77
TOTAL,25.0,50.0,36.76,0.0,62.5,67.54,44.71,64.04
