,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,0.0,33.5,29.17,100.0,0.0,47.8,41.94,41.16
1,0.0,34.88,33.33,,50.0,59.4,38.46,50.23
2,50.0,47.06,33.33,0.0,25.0,69.48,50.0,60.75
3,0.0,58.16,37.5,,0.0,68.71,35.29,63.61
4,33.33,60.32,62.5,,75.0,72.76,60.0,68.07
5,100.0,63.7,0.0,100.0,0.0,71.85,58.33,68.46
6,100.0,65.41,80.0,100.0,,80.15,72.22,75.91
7,50.0,70.42,44.44,,,82.53,42.86,76.69
8,50.0,70.06,42.86,100.0,33.33,83.22,72.41,79.52
9,45.45,57.22,40.0,80.0,33.33,73.68,52.74,67.49
