-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,44.44,60.87,0.0,52.0
OTHER,0.0,50.0,0.0,33.33
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,33.33,62.5,0.0,50.0
ASIAN-PACIFIC,0.0,0.0,0.0,0.0
WHITE,48.5,47.5,0.0,47.97
BLACK,29.55,34.55,0.0,32.32
TOTAL,46.2,46.94,0.0,46.59
