-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,33.33,40.0,16.67,0.0,0.0,46.54,36.5,42.83
30-34,0.0,48.61,0.0,0.0,12.5,56.03,45.45,52.5
35-39,100.0,53.56,57.14,0.0,40.0,59.08,55.88,57.13
40-44,100.0,62.66,25.0,0.0,100.0,67.19,70.59,66.2
45-49,75.0,63.87,75.0,0.0,100.0,71.49,58.06,68.91
50-54,100.0,65.06,50.0,0.0,150.0,71.31,51.85,68.75
55-59,60.0,68.64,100.0,100.0,42.86,77.67,56.82,74.14
60-64,50.0,67.82,0.0,0.0,83.33,80.67,47.06,76.3
65-OVER,66.67,69.93,50.0,0.0,100.0,76.59,60.0,74.73
TOTAL,55.56,60.84,40.0,50.0,50.0,69.72,51.47,66.28
