,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,25.0,28.07,30.0,,33.33,47.6,44.44,36.15
1,22.22,34.72,71.43,,33.33,57.48,27.78,44.51
2,25.0,43.0,20.0,,20.0,59.02,33.33,49.46
3,33.33,47.07,33.33,,0.0,66.27,68.42,57.17
4,62.5,51.31,71.43,,0.0,72.12,29.17,62.12
5,62.5,55.06,83.33,100.0,20.0,73.68,28.57,64.92
6,42.86,61.87,50.0,100.0,50.0,78.56,31.25,70.88
7,75.0,58.58,100.0,0.0,100.0,82.77,58.33,73.66
8,26.67,63.46,46.15,,80.0,80.36,58.33,75.1
9,38.36,48.57,51.72,66.67,33.33,72.45,44.55,61.71
