-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,25.0,75.0,0.0,41.67
OTHER,0.0,0.0,0.0,0.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,25.0,0.0,0.0,20.0
ASIAN-PACIFIC,100.0,0.0,0.0,33.33
WHITE,51.05,51.61,0.0,51.34
BLACK,14.75,26.25,0.0,21.28
TOTAL,39.63,42.8,0.0,41.3
