-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,35.29,42.37,22.73,33.33,21.74,38.6,27.63,39.56
30-34,31.25,50.9,85.71,66.67,55.56,54.07,33.9,52.02
35-39,20.0,55.83,35.29,0.0,25.0,62.97,40.82,58.02
40-44,41.18,62.2,57.14,25.0,50.0,67.86,52.63,64.21
45-49,50.0,66.63,70.0,0.0,42.86,70.61,59.09,68.12
50-54,56.25,69.75,75.0,50.0,37.5,75.89,56.72,72.1
55-59,81.82,74.87,60.0,0.0,33.33,76.55,55.77,75.28
60-64,37.5,78.56,100.0,50.0,50.0,82.27,46.81,79.63
65-OVER,60.53,75.59,79.17,100.0,83.33,80.49,65.09,78.63
TOTAL,47.8,64.5,58.18,43.75,40.0,70.45,49.26,67.12
