-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,100.0,66.67,0.0,80.0
OTHER,0.0,100.0,0.0,33.33
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,50.0,25.0,0.0,33.33
ASIAN-PACIFIC,0.0,0.0,0.0,0.0
WHITE,54.05,47.5,0.0,50.65
BLACK,27.27,48.28,0.0,39.22
TOTAL,48.04,47.86,0.0,47.95
