,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,46.64,44.09,50.94,43.08,42.97,50.48,33.62,46.77
1,50.43,51.89,56.52,62.3,51.34,58.03,40.61,54.34
2,62.25,58.6,61.97,54.41,58.08,65.75,47.02,61.64
3,66.69,64.84,64.05,50.77,61.19,71.59,51.41,67.46
4,69.6,67.89,65.7,63.64,65.23,75.78,52.45,71.44
5,63.41,70.64,67.73,58.82,68.38,77.6,51.21,73.61
6,63.61,72.05,68.95,57.89,71.36,79.73,50.85,76.02
7,61.79,73.36,67.56,55.88,70.17,80.97,51.87,77.67
8,59.49,72.32,64.55,67.65,72.53,80.48,58.12,77.97
9,60.86,62.38,61.61,56.59,60.44,72.9,46.92,67.81
