-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,19.23,46.15,0.0,32.69
OTHER,0.0,0.0,0.0,0.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,14.29,50.0,0.0,36.84
ASIAN-PACIFIC,100.0,0.0,0.0,100.0
WHITE,51.13,54.97,0.0,53.11
BLACK,20.37,32.94,0.0,28.06
TOTAL,38.74,47.46,0.0,43.63
