,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,35.66,48.66,,42.24
1,49.07,63.26,100.0,56.84
2,57.54,66.61,100.0,62.61
3,63.27,67.49,0.0,65.45
4,68.17,71.45,,69.88
5,67.99,74.61,100.0,71.52
6,71.17,78.87,100.0,75.16
7,77.46,79.14,,78.34
8,79.9,75.99,66.67,77.72
9,65.49,70.63,80.0,68.23
