-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,23.53,23.33,0.0,23.44
OTHER,25.0,14.29,0.0,20.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,25.0,40.0,0.0,34.78
ASIAN-PACIFIC,50.0,0.0,0.0,25.0
WHITE,45.97,44.89,0.0,45.33
BLACK,14.95,32.86,100.0,25.4
TOTAL,34.94,39.93,100.0,37.87
