-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,1.0,250.0,284.0,0.0,26.0,33.0,0.0,0.0,0.0,1.0,34.0,36.0,0.0,24.0,30.0,0.0,1693.0,1780.0,1.0,949.0,764.0,5906.0
30-34,0.0,205.0,159.0,0.0,21.0,19.0,0.0,0.0,1.0,0.0,23.0,12.0,0.0,15.0,21.0,0.0,1318.0,1330.0,1.0,671.0,469.0,4265.0
35-39,1.0,178.0,141.0,0.0,15.0,7.0,0.0,0.0,1.0,0.0,14.0,18.0,0.0,16.0,10.0,0.0,1091.0,968.0,0.0,532.0,347.0,3339.0
40-44,0.0,120.0,139.0,0.0,5.0,7.0,0.0,2.0,0.0,0.0,21.0,13.0,0.0,11.0,3.0,0.0,1010.0,945.0,0.0,455.0,268.0,2999.0
45-49,0.0,125.0,118.0,0.0,4.0,13.0,0.0,1.0,0.0,0.0,17.0,5.0,0.0,17.0,9.0,1.0,1138.0,989.0,0.0,406.0,266.0,3109.0
50-54,0.0,84.0,125.0,0.0,6.0,7.0,0.0,1.0,0.0,0.0,6.0,7.0,0.0,11.0,15.0,1.0,1134.0,1045.0,0.0,461.0,337.0,3240.0
55-59,0.0,88.0,98.0,0.0,10.0,3.0,0.0,0.0,1.0,0.0,9.0,14.0,0.0,9.0,11.0,0.0,1172.0,1008.0,0.0,425.0,313.0,3161.0
60-64,0.0,63.0,78.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,7.0,7.0,0.0,9.0,7.0,0.0,1051.0,969.0,0.0,363.0,298.0,2861.0
65-OVER,0.0,151.0,130.0,0.0,13.0,10.0,0.0,1.0,0.0,0.0,10.0,5.0,0.0,8.0,15.0,0.0,2983.0,2463.0,0.0,778.0,515.0,7082.0
TOTAL,2.0,1264.0,1272.0,0.0,105.0,102.0,0.0,6.0,3.0,1.0,141.0,117.0,0.0,120.0,121.0,2.0,12590.0,11497.0,2.0,5040.0,3577.0,35962.0
