-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,35.97,7.69,0.0,33.33,48.5,29.41,39.66
30-34,40.0,47.35,37.5,0.0,100.0,56.71,52.94,50.64
35-39,100.0,52.55,33.33,0.0,100.0,60.75,50.0,55.58
40-44,40.0,47.77,33.33,0.0,50.0,62.89,53.33,53.21
45-49,0.0,57.89,0.0,0.0,50.0,70.62,33.33,62.45
50-54,0.0,66.16,0.0,100.0,0.0,69.58,76.47,67.7
55-59,0.0,64.07,20.0,0.0,50.0,75.81,44.44,68.8
60-64,25.0,75.4,0.0,0.0,100.0,77.49,44.44,75.52
65-OVER,25.0,65.71,33.33,0.0,66.67,75.85,61.9,71.64
TOTAL,33.33,57.61,23.81,100.0,61.9,70.06,50.75,62.98
