,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,50.0,42.91,15.38,100.0,50.0,44.46,33.85,43.02
1,12.5,49.84,44.44,,0.0,54.55,40.74,50.85
2,0.0,61.15,40.0,0.0,33.33,62.98,44.9,60.91
3,66.67,63.57,33.33,100.0,75.0,70.11,30.43,65.27
4,33.33,70.7,71.43,66.67,50.0,67.43,45.45,67.73
5,100.0,68.26,57.14,,42.86,68.66,35.19,67.04
6,0.0,72.4,28.57,0.0,33.33,72.68,41.51,70.99
7,80.0,73.18,71.43,,63.64,76.23,62.16,74.33
8,77.78,73.79,87.5,0.0,75.0,77.17,51.67,75.3
9,48.84,64.31,47.83,50.0,46.43,68.51,42.28,65.36
