-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,4.0,141.0,130.0,0.0,27.0,11.0,0.0,2.0,2.0,0.0,46.0,31.0,0.0,22.0,24.0,1.0,1188.0,1008.0,3.0,906.0,350.0,3896.0
30-34,4.0,130.0,138.0,1.0,27.0,20.0,0.0,3.0,2.0,0.0,69.0,45.0,0.0,46.0,28.0,2.0,1484.0,1202.0,4.0,1056.0,411.0,4672.0
35-39,2.0,132.0,119.0,2.0,39.0,16.0,0.0,1.0,2.0,0.0,50.0,36.0,0.0,36.0,21.0,0.0,1558.0,1302.0,2.0,1225.0,494.0,5037.0
40-44,2.0,105.0,106.0,0.0,20.0,17.0,1.0,3.0,1.0,0.0,80.0,41.0,0.0,48.0,31.0,1.0,1586.0,1329.0,5.0,1066.0,555.0,4997.0
45-49,3.0,159.0,153.0,0.0,19.0,18.0,0.0,5.0,0.0,0.0,55.0,40.0,0.0,69.0,43.0,2.0,1760.0,1628.0,1.0,1059.0,597.0,5611.0
50-54,0.0,124.0,141.0,0.0,20.0,26.0,0.0,5.0,2.0,1.0,59.0,50.0,0.0,73.0,43.0,2.0,2235.0,2115.0,1.0,1184.0,820.0,6901.0
55-59,2.0,114.0,119.0,0.0,22.0,21.0,1.0,0.0,0.0,0.0,52.0,35.0,0.0,52.0,43.0,0.0,2292.0,2255.0,1.0,1078.0,750.0,6837.0
60-64,1.0,83.0,91.0,0.0,31.0,15.0,0.0,3.0,1.0,0.0,37.0,29.0,0.0,68.0,33.0,0.0,1966.0,1839.0,1.0,876.0,618.0,5692.0
65-OVER,1.0,154.0,153.0,0.0,26.0,20.0,0.0,4.0,3.0,0.0,61.0,52.0,0.0,68.0,43.0,2.0,5195.0,4628.0,1.0,1308.0,939.0,12658.0
TOTAL,19.0,1142.0,1150.0,3.0,231.0,164.0,2.0,26.0,13.0,1.0,509.0,359.0,0.0,482.0,309.0,10.0,19264.0,17306.0,19.0,9758.0,5534.0,56301.0
