,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,38.46,33.39,34.04,66.67,27.78,41.34,36.68,37.55
1,32.14,44.01,43.59,0.0,31.25,52.41,42.86,48.29
2,50.0,49.1,37.14,50.0,35.29,61.29,52.53,55.73
3,47.83,53.24,51.85,0.0,27.27,62.77,53.14,58.49
4,47.5,59.69,73.33,66.67,45.45,68.4,55.56,64.79
5,44.83,62.95,63.33,100.0,50.0,71.7,55.36,67.74
6,43.48,61.56,50.0,,60.0,73.33,54.55,68.58
7,45.0,66.7,55.56,,85.71,77.47,61.54,73.5
8,61.29,63.13,37.5,33.33,60.0,73.72,50.48,70.59
9,45.87,54.04,48.56,46.67,42.25,66.69,50.0,61.52
