-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,33.33,34.78,0.0,0.0,0.0,47.89,21.05,41.43
30-34,0.0,42.97,0.0,0.0,0.0,50.81,42.86,47.46
35-39,100.0,49.26,33.33,0.0,0.0,58.02,44.44,54.59
40-44,100.0,45.56,66.67,0.0,100.0,64.54,33.33,59.9
45-49,50.0,61.82,66.67,0.0,50.0,66.57,50.0,64.85
50-54,0.0,62.16,100.0,0.0,50.0,77.37,71.43,72.75
55-59,0.0,63.33,100.0,0.0,0.0,77.5,70.0,72.25
60-64,0.0,72.19,100.0,0.0,33.33,78.02,33.33,74.95
65-OVER,33.33,62.1,100.0,0.0,80.0,77.65,75.0,74.31
TOTAL,34.78,56.21,66.67,0.0,44.44,70.2,49.02,65.66
