-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,22.58,29.05,42.0,37.5,24.56,45.28,35.37,40.32
30-34,35.0,41.63,41.49,50.0,42.55,56.63,46.44,52.34
35-39,48.39,54.73,57.73,50.0,42.86,60.92,52.89,58.62
40-44,59.26,58.15,64.79,100.0,43.14,66.71,57.03,64.05
45-49,58.82,60.51,49.52,0.0,54.29,71.11,54.46,67.28
50-54,43.33,63.09,50.53,100.0,56.41,73.63,56.66,69.88
55-59,55.88,62.95,61.36,100.0,52.94,75.16,54.27,71.38
60-64,72.73,67.26,54.35,100.0,40.74,78.44,61.81,75.26
65-OVER,51.22,67.52,51.76,100.0,72.0,76.75,58.12,74.45
TOTAL,48.62,54.88,50.83,62.07,44.15,68.41,51.46,64.28
