-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,11.63,33.33,0.0,23.08
OTHER,100.0,100.0,0.0,100.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,0.0,20.0,0.0,9.09
ASIAN-PACIFIC,0.0,66.67,0.0,66.67
WHITE,46.62,48.05,0.0,47.35
BLACK,29.39,50.88,0.0,41.56
TOTAL,36.35,48.31,0.0,42.78
