PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
BLACKSTOCK,25.0,50.0,40.0,0.0,33.33,59.56,43.23,57.36
BOYNTON,47.37,53.01,41.67,0.0,34.15,65.64,58.11,64.19
CATOOSA KEITH,28.57,73.33,48.28,0.0,50.0,65.79,51.58,64.14
CHAMBERS,57.14,58.82,46.15,0.0,60.0,71.96,54.35,69.93
FT OGLETHORPE,41.86,40.56,33.33,50.0,39.13,59.91,44.37,57.07
GRAYSVILLE,33.33,45.71,51.85,33.33,51.85,61.36,53.27,59.74
LAKEVIEW,20.69,36.56,58.33,33.33,20.83,53.07,42.39,50.99
POPLAR SPRINGS,25.0,61.76,57.69,50.0,20.0,65.09,58.02,64.07
RINGGOLD,52.94,56.15,48.48,37.5,42.86,63.77,57.14,62.57
WESTSIDE,32.5,37.5,49.18,0.0,25.71,56.91,51.55,55.29
WOODSTATION,33.33,66.1,61.54,50.0,45.45,67.36,50.0,65.48
TOTAL,38.13,48.31,48.25,37.93,37.19,62.46,52.23,60.7
