-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,31.44,42.64,0.0,36.69
OTHER,21.05,31.82,0.0,28.57
NATIVE AMERICAN,0.0,100.0,0.0,100.0
LATINO,35.65,54.79,66.67,46.34
ASIAN-PACIFIC,29.17,31.82,0.0,30.43
WHITE,41.44,43.21,0.0,42.35
BLACK,25.53,31.53,0.0,28.78
TOTAL,37.9,44.72,50.0,41.47
