-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,66.67,41.56,9.09,0.0,100.0,47.35,22.83,42.75
30-34,33.33,43.14,25.0,100.0,66.67,51.22,40.26,47.02
35-39,83.33,51.91,50.0,100.0,66.67,60.41,42.19,56.05
40-44,33.33,60.88,75.0,0.0,25.0,63.42,53.12,61.51
45-49,100.0,63.18,50.0,0.0,50.0,74.26,46.99,68.21
50-54,33.33,66.98,0.0,0.0,75.0,71.02,50.88,68.46
55-59,100.0,69.77,80.0,0.0,66.67,75.48,56.72,72.63
60-64,50.0,73.25,50.0,0.0,80.0,78.95,59.26,76.05
65-OVER,33.33,63.94,50.0,0.0,50.0,75.12,63.37,71.29
TOTAL,59.26,59.65,40.38,50.0,63.16,69.3,47.8,64.56
