-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,56.0,39.0,2.0,9.0,4.0,0.0,1.0,1.0,0.0,10.0,6.0,0.0,4.0,6.0,1.0,517.0,392.0,0.0,443.0,164.0,1655.0
30-34,1.0,40.0,46.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,3.0,6.0,0.0,596.0,492.0,0.0,478.0,158.0,1847.0
35-39,0.0,53.0,51.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,10.0,3.0,0.0,7.0,4.0,0.0,680.0,528.0,0.0,492.0,187.0,2022.0
40-44,0.0,47.0,46.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,6.0,5.0,0.0,694.0,591.0,0.0,464.0,210.0,2083.0
45-49,0.0,41.0,49.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,8.0,14.0,0.0,11.0,8.0,1.0,897.0,697.0,0.0,473.0,263.0,2469.0
50-54,3.0,44.0,46.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0,5.0,14.0,0.0,6.0,7.0,1.0,893.0,826.0,0.0,523.0,308.0,2686.0
55-59,0.0,43.0,29.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,3.0,7.0,1.0,988.0,859.0,0.0,490.0,277.0,2724.0
60-64,0.0,37.0,35.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,5.0,4.0,0.0,970.0,890.0,0.0,457.0,268.0,2688.0
65-OVER,0.0,49.0,57.0,0.0,9.0,9.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,8.0,11.0,0.0,2595.0,2171.0,0.0,821.0,429.0,6166.0
TOTAL,4.0,410.0,398.0,4.0,53.0,33.0,0.0,3.0,4.0,0.0,68.0,67.0,0.0,53.0,58.0,4.0,8830.0,7446.0,0.0,4641.0,2264.0,24340.0
