,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,0.0,36.04,50.0,,30.0,46.05,34.29,42.06
1,33.33,36.34,46.15,,100.0,57.14,43.33,49.24
2,50.0,46.26,40.0,,0.0,63.27,56.67,56.82
3,33.33,51.72,71.43,100.0,75.0,74.72,43.48,66.55
4,40.0,55.29,50.0,,50.0,72.73,60.0,66.77
5,40.0,62.46,50.0,,66.67,72.66,60.0,69.3
6,75.0,60.53,57.14,100.0,100.0,76.5,50.0,70.71
7,50.0,71.3,75.0,,50.0,81.62,60.87,77.99
8,50.0,70.23,66.67,,40.0,79.31,68.33,77.05
9,42.5,56.14,52.5,100.0,46.88,72.14,54.12,66.85
