-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,17.65,54.55,0.0,38.46
OTHER,50.0,0.0,0.0,28.57
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,40.0,0.0,0.0,25.0
ASIAN-PACIFIC,0.0,100.0,0.0,20.0
WHITE,50.84,44.64,0.0,47.33
BLACK,37.14,55.03,0.0,46.37
TOTAL,42.86,48.42,0.0,45.86
