,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,0.0,33.26,35.29,0.0,37.5,43.87,32.86,37.76
1,50.0,43.9,33.33,,40.0,57.87,43.33,50.86
2,0.0,46.5,28.57,,66.67,57.81,56.82,52.83
3,,57.54,28.57,,25.0,69.15,42.86,62.39
4,0.0,60.76,60.0,100.0,40.0,68.47,51.28,64.37
5,75.0,59.94,66.67,,57.14,74.81,66.67,69.01
6,75.0,67.06,57.14,,100.0,73.75,54.9,70.48
7,50.0,76.41,83.33,100.0,33.33,76.1,68.75,75.69
8,75.0,68.58,62.5,100.0,50.0,73.99,66.67,72.09
9,55.0,57.64,46.51,80.0,46.15,68.81,54.02,63.74
