AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,33.95,50.00,0.00,66.67,63.23,57.14,40.71
25-29,0.00,38.19,33.33,0.00,28.57,50.00,47.37,41.36
30-34,33.33,41.57,0.00,0.00,0.00,53.12,47.37,44.54
35-39,0.00,50.75,80.00,0.00,0.00,77.61,40.00,57.93
40-44,50.00,48.88,50.00,0.00,0.00,75.38,18.18,56.28
45-49,33.33,62.54,100.0,0.00,0.00,76.74,77.78,68.10
50-54,0.00,69.08,100.0,100.0,66.67,80.70,63.16,73.20
55-59,0.00,68.63,50.00,0.00,100.0,83.47,45.45,73.66
60-64,0.00,67.17,100.0,0.00,50.00,87.92,81.25,76.30
65-OVER,0.00,69.21,0.00,0.00,100.0,81.80,70.37,76.15
TOTAL,18.75,54.49,64.00,100.0,53.85,76.91,56.28,62.83
