AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,25.00,37.25,14.29,100.0,23.08,56.22,45.45,44.51
25-29,0.00,43.30,20.00,0.00,42.86,52.83,52.63,47.01
30-34,0.00,50.56,100.0,0.00,0.00,57.49,48.15,53.00
35-39,0.00,60.55,80.00,0.00,50.00,69.68,35.00,64.04
40-44,33.33,61.28,100.0,0.00,0.00,73.55,41.18,66.39
45-49,33.33,65.95,100.0,0.00,0.00,77.75,69.23,71.60
50-54,50.00,67.97,83.33,0.00,50.00,77.39,42.31,71.55
55-59,100.0,71.01,66.67,0.00,0.00,79.49,65.00,74.81
60-64,0.00,75.09,100.0,0.00,75.00,84.45,47.62,79.08
65-OVER,0.00,69.64,100.0,100.0,100.0,80.07,59.46,75.58
TOTAL,23.08,60.73,62.86,40.00,37.84,73.73,50.67,66.46
